id_cliente,nombre_cliente,ocupacion,ingreso_mensual_declarado,nivel_riesgo_kyc,fecha_alta_sistema
CLI-00803,Benito Guillermo Olivárez Carrillo,Desempleado,3135.2,Alto,2023-11-15
CLI-00804,Juana Coronado,Empleado Sector Privado,29622.37,Medio,2024-02-25
CLI-00805,Juan Carlos Solorzano,Profesionista Independiente,58451.85,Medio,2025-10-29
CLI-00806,Oswaldo Homero Ceballos,Empresario / Comerciante,230794.87,Alto,2025-11-27
CLI-00807,Maximiliano Mejía,Empleado Sector Privado,24138.75,Medio,2023-10-28
CLI-00808,Ing. Amanda Rosales,Jubilado,17797.72,Bajo,2026-06-07
CLI-00809,Jorge Iván Collado Aparicio,Empresario / Comerciante,203887.71,Alto,2026-02-05
CLI-00810,Ing. Asunción Delgadillo,Empresario / Comerciante,150581.34,Alto,2025-07-25
CLI-00811,Rodrigo Cornejo,Empresario / Comerciante,243253.63,Alto,2025-08-29
CLI-00812,Adalberto Benito Valles,Empleado Sector Privado,38441.55,Medio,2023-06-15
CLI-00813,Alonso Gerónimo Cantú Cadena,Empleado Sector Privado,40809.06,Medio,2024-04-07
CLI-00814,Anel Carrera Sauceda,Estudiante,5847.07,Bajo,2024-07-24
CLI-00815,Lic. Jonás Montes,Profesionista Independiente,39954.33,Medio,2025-07-02
CLI-00816,Emiliano Renato Guardado Galarza,Estudiante,6268.41,Bajo,2023-08-03
CLI-00817,Dr. Enrique Magaña,Jubilado,16065.16,Bajo,2024-09-26
CLI-00818,Enrique Javier Tamayo,Profesionista Independiente,18774.38,Medio,2025-10-24
CLI-00819,Dra. Guillermina Rael,Empleado Sector Privado,21002.11,Medio,2025-11-22
CLI-00820,Ing. Óscar Valenzuela,Jubilado,6915.53,Bajo,2024-12-27
CLI-00821,Bernabé Pantoja Sisneros,Empresario / Comerciante,68342.71,Alto,2025-08-20
CLI-00822,Mateo Vanegas,Empleado Sector Privado,38951.21,Medio,2025-06-26
CLI-00823,Salma Barbara Salas Aguirre,Profesionista Independiente,56871.24,Medio,2023-09-21
CLI-00824,Ing. Judith Velásquez,Empresario / Comerciante,60651.38,Alto,2025-06-25
CLI-00825,Cristobal Adalberto Alcántar Maya,Jubilado,9861.5,Bajo,2026-04-21
CLI-00826,Marco Antonio Jorge Mesa,Empresario / Comerciante,248905.07,Alto,2025-06-24
CLI-00827,Ramón Hugo Montañez,Profesionista Independiente,25104.24,Medio,2025-06-26
CLI-00828,Srita. Catalina Abrego,Profesionista Independiente,56887.17,Medio,2025-01-16
CLI-00829,Ing. Pascual Alcaraz,Desempleado,2599.84,Alto,2025-12-09
CLI-00830,Hermelinda Débora Medrano Cano,Empleado Sector Privado,16540.79,Medio,2024-08-06
CLI-00831,Eloy Manzanares,Profesionista Independiente,56282.83,Medio,2025-09-13
CLI-00832,Germán Casas Viera,Empresario / Comerciante,189214.4,Alto,2024-04-02
CLI-00833,Gustavo Cornejo de León,Empleado Sector Privado,37041.76,Medio,2024-08-21
CLI-00834,Adela Clara Muro Paz,Empresario / Comerciante,139720.29,Alto,2025-02-02
CLI-00835,Enrique Raúl Rosas,Estudiante,7435.14,Bajo,2024-10-07
CLI-00836,Adriana Liliana Rentería Madrigal,Estudiante,3535.54,Bajo,2024-06-09
CLI-00837,Rodrigo Jasso Sepúlveda,Empleado Sector Privado,30110.54,Medio,2023-09-23
CLI-00838,Guillermina Esparza,Desempleado,2435.52,Alto,2024-08-01
CLI-00839,Pascual Alonso Hernandes,Empresario / Comerciante,72237.37,Alto,2025-05-22
CLI-00840,Lic. Aldonza Ávila,Profesionista Independiente,25693.81,Medio,2026-05-03
CLI-00841,Augusto Nicolás Palomino Gaona,Estudiante,2286.5,Bajo,2024-06-30
CLI-00842,Héctor Leonardo Cepeda,Empresario / Comerciante,177790.35,Alto,2023-12-30
CLI-00843,Gilberto Alfonso Pulido,Jubilado,10942.48,Bajo,2025-02-26
CLI-00844,Sr. Abraham Sáenz,Estudiante,7020.13,Bajo,2026-05-04
CLI-00845,Ing. Carlos Alvarado,Empresario / Comerciante,169347.81,Alto,2025-05-05
CLI-00846,Rubén José Emilio Ballesteros Ulibarri,Estudiante,5791.73,Bajo,2025-06-29
CLI-00847,Srita. Asunción Alcántar,Jubilado,8145.2,Bajo,2024-10-09
CLI-00848,Camilo Mateo,Empleado Sector Privado,21611.98,Medio,2023-12-30
CLI-00849,Estela Maya,Estudiante,5688.86,Bajo,2023-06-21
CLI-00850,Lic. Ángela Bustos,Empleado Sector Privado,30831.9,Medio,2025-12-14
CLI-00851,Rodrigo Isaac Valencia,Empleado Sector Privado,33924.25,Medio,2025-09-09
CLI-00852,Ana María Cynthia Zavala,Estudiante,5140.91,Bajo,2024-10-04
CLI-00853,Humberto Jorge Luis Zedillo,Profesionista Independiente,18045.57,Medio,2025-05-24
CLI-00854,Jacinto Verdugo Villagómez,Jubilado,12073.07,Bajo,2026-03-27
CLI-00855,Karla Serna Mascareñas,Jubilado,12203.98,Bajo,2024-05-26
CLI-00856,Alejandra Perla Saldivar Gutiérrez,Empresario / Comerciante,224666.29,Alto,2024-12-29
CLI-00857,Elisa Camila Nieves,Estudiante,5814.02,Bajo,2023-09-02
CLI-00858,Frida Gaitán,Profesionista Independiente,26414.26,Medio,2024-12-09
CLI-00859,Lic. Eduardo Almaraz,Estudiante,4142.56,Bajo,2023-06-29
CLI-00860,María José Cristal Garibay,Estudiante,4068.81,Bajo,2025-02-08
CLI-00861,Elsa Guillen Contreras,Desempleado,2628.42,Alto,2023-10-12
CLI-00862,Sra. Linda Reyes,Estudiante,6629.01,Bajo,2023-12-09
CLI-00863,Ing. Antonio Mondragón,Desempleado,3026.72,Alto,2025-11-24
CLI-00864,Benjamín Reynaldo Montañez,Empleado Sector Privado,13463.08,Medio,2025-10-29
CLI-00865,Alberto Marcos Gómez,Jubilado,9401.11,Bajo,2026-05-23
CLI-00866,Lorenzo Medrano Toledo,Desempleado,700.36,Alto,2024-10-01
CLI-00867,Gregorio Cervantes Roybal,Desempleado,1858.49,Alto,2025-06-25
CLI-00868,Ing. Patricio Valverde,Desempleado,1914.12,Alto,2023-07-20
CLI-00869,Débora Adela Alarcón Lemus,Empleado Sector Privado,38779.42,Medio,2025-06-10
CLI-00870,Gabriela María Teresa Vanegas Arias,Estudiante,6296.27,Bajo,2025-09-28
CLI-00871,Flavio Concepción,Empresario / Comerciante,57396.76,Alto,2025-04-13
CLI-00872,Augusto Tejeda,Empleado Sector Privado,13445.61,Medio,2024-08-17
CLI-00873,Felix Esparza Coronado,Empleado Sector Privado,41231.08,Medio,2025-07-03
CLI-00874,Dr. Luis Miguel Zamudio,Profesionista Independiente,57001.69,Medio,2024-11-12
CLI-00875,Aida Cristal Montalvo Valencia,Jubilado,10176.91,Bajo,2024-04-22
CLI-00876,Miguel Ángel Montes,Jubilado,11154.2,Bajo,2026-01-11
CLI-00877,Rodrigo Valadez,Estudiante,6519.75,Bajo,2024-04-09
CLI-00878,Lucas Gilberto Meléndez,Empleado Sector Privado,21441.66,Medio,2025-06-20
CLI-00879,Socorro Gracia Montalvo,Estudiante,7194.79,Bajo,2024-05-27
CLI-00880,Alejandro Lovato Correa,Profesionista Independiente,27294.75,Medio,2024-11-25
CLI-00881,Óscar Genaro Parra,Profesionista Independiente,34662.81,Medio,2023-07-31
CLI-00882,María Luisa Mondragón Soliz,Empresario / Comerciante,198661.54,Alto,2023-07-06
CLI-00883,Humberto Porfirio Botello Garrido,Empresario / Comerciante,117807.33,Alto,2024-12-07
CLI-00884,José Jaime Padrón,Empleado Sector Privado,28374.71,Medio,2023-08-10
CLI-00885,Jaqueline Alta  Gracia Burgos,Empresario / Comerciante,123469.39,Alto,2025-10-14
CLI-00886,Nancy Regalado Treviño,Jubilado,8467.37,Bajo,2024-09-27
CLI-00887,Guadalupe Berta Esquivel Espinal,Estudiante,6362.49,Bajo,2023-09-30
CLI-00888,Alejandro Delgadillo,Estudiante,4583.64,Bajo,2024-07-27
CLI-00889,Mario Prado Maldonado,Empleado Sector Privado,30000.66,Medio,2026-06-05
CLI-00890,Lic. Ana Esparza,Profesionista Independiente,19616.91,Medio,2025-04-30
CLI-00891,Sra. Perla Olivares,Profesionista Independiente,44741.36,Medio,2023-06-13
CLI-00892,Srita. Celia Grijalva,Profesionista Independiente,35066.21,Medio,2024-05-04
CLI-00893,Esmeralda Ceja,Desempleado,1704.46,Alto,2025-08-18
CLI-00894,Sr. Gabriel Negrón,Desempleado,1775.63,Alto,2025-04-17
CLI-00895,Sra. Esther Matías,Empresario / Comerciante,58471.03,Alto,2024-11-28
CLI-00896,Armando Delgado,Profesionista Independiente,42668.32,Medio,2025-11-30
CLI-00897,Gabino Menéndez,Empresario / Comerciante,104911.07,Alto,2024-05-16
CLI-00898,Eugenio Alfredo Rojas Limón,Estudiante,2450.25,Bajo,2026-02-16
CLI-00899,Tomás Cristian Soria,Desempleado,1624.84,Alto,2024-06-25
CLI-00900,Sergio Tijerina,Jubilado,15414.25,Bajo,2024-11-05
CLI-00901,Antonio Felipe Orosco Zavala,Desempleado,639.95,Alto,2025-11-09
CLI-00902,Srita. Elsa Mondragón,Estudiante,2856.68,Bajo,2025-10-07
CLI-00903,Marcela Tórrez Robles,Jubilado,13815.16,Bajo,2025-06-15
CLI-00904,Horacio Mauricio Ordóñez Montalvo,Empresario / Comerciante,56959.79,Alto,2025-04-29
CLI-00905,Diego Fernando Velasco,Estudiante,3415.97,Bajo,2025-10-17
CLI-00906,Jorge Luis Diego Gallegos,Desempleado,1465.31,Alto,2023-07-13
CLI-00907,Amelia Diana Cazares,Empresario / Comerciante,239893.42,Alto,2026-06-06
CLI-00908,Ing. Victoria del Valle,Estudiante,5630.57,Bajo,2026-03-04
CLI-00909,Germán Zelaya Roldán,Desempleado,1799.69,Alto,2024-03-25
CLI-00910,Pascual Montoya,Profesionista Independiente,31740.6,Medio,2024-02-16
CLI-00911,Eloisa Magaña,Estudiante,5443.53,Bajo,2025-01-09
CLI-00912,Violeta Valverde Coronado,Jubilado,9770.35,Bajo,2023-06-17
CLI-00913,Vicente Zarate,Profesionista Independiente,44230.23,Medio,2023-12-08
CLI-00914,Clara Lucero,Empleado Sector Privado,43697.16,Medio,2023-09-17
CLI-00915,Sofía Marisol Camacho,Estudiante,6414.05,Bajo,2025-03-04
CLI-00916,Martín Rolando Lebrón,Empresario / Comerciante,153549.05,Alto,2023-10-09
CLI-00917,Lic. Eduardo Villa,Jubilado,6530.89,Bajo,2026-03-21
CLI-00918,Ing. Marisol Alarcón,Profesionista Independiente,46681.7,Medio,2026-03-14
CLI-00919,Verónica Casárez,Empleado Sector Privado,44880.05,Medio,2023-11-08
CLI-00920,Ruby Dulce María Raya,Profesionista Independiente,46229.13,Medio,2024-03-28
CLI-00921,Rubén Alfonso Vigil Portillo,Empresario / Comerciante,90035.67,Alto,2025-01-20
CLI-00922,Marisol Angélica Burgos,Empleado Sector Privado,40143.27,Medio,2024-10-21
CLI-00923,Conchita Dolores Cisneros,Empresario / Comerciante,84531.27,Alto,2025-07-10
CLI-00924,Lic. Benjamín Osorio,Desempleado,1780.44,Alto,2024-12-24
CLI-00925,Leonardo Dávila,Estudiante,6863.08,Bajo,2025-03-24
CLI-00926,María del Carmen Ivonne Pichardo,Profesionista Independiente,45052.79,Medio,2023-08-22
CLI-00927,Vanesa Alejandra Dueñas Riojas,Desempleado,259.76,Alto,2026-03-26
CLI-00928,María Eugenia Eugenia Soria Carrillo,Jubilado,8774.71,Bajo,2024-05-14
CLI-00929,Amelia María Elena Bernal,Profesionista Independiente,53311.29,Medio,2026-05-17
CLI-00930,Aurora Ledesma Reséndez,Desempleado,2838.26,Alto,2025-04-11
CLI-00931,Cynthia Valencia Brito,Desempleado,2550.8,Alto,2026-01-16
CLI-00932,Lic. Pascual Montenegro,Profesionista Independiente,37894.01,Medio,2025-08-17
CLI-00933,Dra. Rebeca Aparicio,Estudiante,7910.8,Bajo,2025-02-13
CLI-00934,Lic. Jorge Esquibel,Empleado Sector Privado,19812.29,Medio,2023-06-14
CLI-00935,María Luisa Linda Casas Urbina,Empresario / Comerciante,55256.81,Alto,2024-05-29
CLI-00936,María Teresa Zarate Valentín,Jubilado,12439.61,Bajo,2023-10-03
CLI-00937,Srita. Citlali Santana,Empresario / Comerciante,210732.35,Alto,2026-03-13
CLI-00938,Aurora Violeta Escamilla,Jubilado,6687.03,Bajo,2025-02-19
CLI-00939,Srita. Gabriela Orta,Estudiante,2394.49,Bajo,2026-04-05
CLI-00940,Ing. Eugenio Leiva,Empresario / Comerciante,249919.01,Alto,2025-09-14
CLI-00941,Lic. José Luis Samaniego,Desempleado,1914.66,Alto,2023-09-19
CLI-00942,Sra. Lilia Portillo,Empresario / Comerciante,203832.91,Alto,2025-01-03
CLI-00943,Hugo Ceballos,Jubilado,5958.76,Bajo,2023-12-29
CLI-00944,Flavio Serrano,Profesionista Independiente,43905.24,Medio,2026-05-27
CLI-00945,Aurelio Emiliano Varela Henríquez,Empresario / Comerciante,143166.64,Alto,2025-08-26
CLI-00946,Esparta Natalia Almaraz Valadez,Jubilado,9478.69,Bajo,2023-08-28
CLI-00947,María José Sepúlveda,Jubilado,13317.32,Bajo,2023-07-29
CLI-00948,Mónica Anel Carrasco Granado,Empleado Sector Privado,37336.79,Medio,2023-07-23
CLI-00949,Lic. José María Rodríquez,Empleado Sector Privado,26276.4,Medio,2024-10-20
CLI-00950,Isabel Nelly Villareal,Estudiante,6988.34,Bajo,2025-03-27
CLI-00951,Claudia Daniela Lucero,Jubilado,6989.2,Bajo,2024-04-21
CLI-00952,Dra. María del Carmen Guerrero,Empleado Sector Privado,17344.91,Medio,2023-09-28
CLI-00953,Antonia Anel Arellano,Desempleado,901.88,Alto,2026-02-13
CLI-00954,Emiliano Jacinto Arce,Jubilado,16634.04,Bajo,2026-01-14
CLI-00955,Trinidad Ana Apodaca Zúñiga,Estudiante,3503.63,Bajo,2024-07-31
CLI-00956,Ana Ana Arevalo,Desempleado,3825.41,Alto,2024-03-01
CLI-00957,Rafaél Víctor Téllez Irizarry,Profesionista Independiente,20632.66,Medio,2023-07-20
CLI-00958,Lic. Diana Bahena,Profesionista Independiente,42649.27,Medio,2025-07-08
CLI-00959,Silvano Fidel Solís Muñoz,Estudiante,5015.44,Bajo,2023-10-11
CLI-00960,Zeferino Trejo,Empleado Sector Privado,31529.68,Medio,2023-10-10
CLI-00961,José Emilio Valles,Jubilado,7004.53,Bajo,2024-01-02
CLI-00962,Ing. Cornelio Madrigal,Desempleado,2497.92,Alto,2025-08-08
CLI-00963,Miriam Guadalupe Báez Nieto,Jubilado,9389.05,Bajo,2026-04-10
CLI-00964,Jerónimo Agustín Hinojosa Alonso,Jubilado,5535.53,Bajo,2023-09-14
CLI-00965,María Teresa Araceli Vargas,Estudiante,2487.34,Bajo,2025-01-21
CLI-00966,Lic. Eugenio Malave,Desempleado,3084.09,Alto,2024-05-24
CLI-00967,Javier Saiz Ibarra,Profesionista Independiente,44300.85,Medio,2026-05-22
CLI-00968,Horacio Reséndez Figueroa,Jubilado,10415.63,Bajo,2026-03-08
CLI-00969,Ana María Serrano Soto,Desempleado,121.14,Alto,2024-03-22
CLI-00970,María Eugenia Villalobos Alcántar,Desempleado,2182.31,Alto,2025-10-27
CLI-00971,Silvano Fidel Medrano Santiago,Desempleado,3826.6,Alto,2024-02-06
CLI-00972,Marco Antonio Isaac Jurado Partida,Empresario / Comerciante,98975.58,Alto,2026-05-22
CLI-00973,Patricio Jáquez,Desempleado,1624.37,Alto,2026-01-09
CLI-00974,Felipe Gustavo Caraballo,Empresario / Comerciante,64594.61,Alto,2023-08-08
CLI-00975,Benito Héctor Bahena,Estudiante,2948.48,Bajo,2024-11-09
CLI-00976,Eugenio Linares Gutiérrez,Empresario / Comerciante,146850.23,Alto,2025-06-19
CLI-00977,Hernán Carreón Romo,Empleado Sector Privado,23226.35,Medio,2024-03-31
CLI-00978,Srita. Estefanía Ozuna,Empleado Sector Privado,22315.22,Medio,2024-04-26
CLI-00979,Federico Pedraza,Desempleado,1277.27,Alto,2024-08-02
CLI-00980,Agustín Trujillo Campos,Profesionista Independiente,58891.84,Medio,2024-02-12
CLI-00981,Dr. José Luis Camacho,Empleado Sector Privado,37101.94,Medio,2026-04-06
CLI-00982,Aida Anabel Nazario,Jubilado,12301.47,Bajo,2026-06-01
CLI-00983,Miguel José Eduardo Berríos Camarillo,Profesionista Independiente,25878.2,Medio,2024-11-21
CLI-00984,Alma Vera,Estudiante,3604.83,Bajo,2024-08-03
CLI-00985,Estela Paola Regalado,Empleado Sector Privado,16648.96,Medio,2024-09-17
CLI-00986,Ing. Gabriel Cruz,Estudiante,3741.27,Bajo,2025-11-29
CLI-00987,Elena Minerva Ayala Arevalo,Empresario / Comerciante,222832.77,Alto,2024-06-18
CLI-00988,Raúl Valle,Empresario / Comerciante,99654.06,Alto,2023-06-28
CLI-00989,Reynaldo Maximiliano del Valle de la Fuente,Empleado Sector Privado,38844.77,Medio,2026-03-07
CLI-00990,Noemí Sofía Saldivar Meraz,Jubilado,14374.67,Bajo,2024-07-16
CLI-00991,Lucas Cisneros,Empleado Sector Privado,37183.01,Medio,2023-06-21
CLI-00992,Dra. Leticia Leyva,Empresario / Comerciante,249193.88,Alto,2024-09-27
CLI-00993,Elvia Espinal Iglesias,Empresario / Comerciante,149751.94,Alto,2025-02-20
CLI-00994,Lilia Curiel Noriega,Profesionista Independiente,37381.66,Medio,2025-10-12
CLI-00995,Lic. Elisa Benítez,Estudiante,7671.4,Bajo,2025-01-12
CLI-00996,Alfredo Darío Aguilera Valdés,Jubilado,10944.0,Bajo,2025-02-06
CLI-00997,Lic. Nelly Carvajal,Empleado Sector Privado,19099.77,Medio,2024-11-29
CLI-00998,Dra. Dulce María Linares,Profesionista Independiente,17189.62,Medio,2025-08-16
CLI-00999,Cristobal Perea Acevedo,Profesionista Independiente,37270.24,Medio,2026-03-08
CLI-01000,Esther Vásquez Olivera,Desempleado,2690.08,Alto,2023-08-05
CLI-01001,Octavio Luna,Profesionista Independiente,39151.08,Medio,2025-04-28
CLI-01002,Teresa Antonia Ramírez,Estudiante,4585.57,Bajo,2023-11-20
CLI-01003,Juana Leticia Brito Guzmán,Profesionista Independiente,47737.86,Medio,2024-05-23
CLI-01004,Lorena Sandra Murillo Villegas,Empresario / Comerciante,123187.47,Alto,2024-09-24
CLI-01005,Frida Elsa Aguilar Benavídez,Empresario / Comerciante,60231.54,Alto,2023-09-29
CLI-01006,Dr. Tomás Solano,Jubilado,7530.52,Bajo,2025-08-03
CLI-01007,Adela Blanca Torres,Jubilado,8751.82,Bajo,2026-05-02
CLI-01008,Alfonso Saldaña,Empresario / Comerciante,150851.11,Alto,2024-04-18
CLI-01009,Margarita Anabel Olvera Arroyo,Jubilado,8636.37,Bajo,2026-01-15
CLI-01010,Abraham Laboy,Jubilado,13845.18,Bajo,2023-07-25
CLI-01011,Iván Amador Muñoz,Estudiante,2771.98,Bajo,2026-03-06
CLI-01012,Dr. Tomás Laboy,Estudiante,4363.42,Bajo,2023-06-16
CLI-01013,Cristal Negrón Vázquez,Profesionista Independiente,40102.43,Medio,2024-06-10
CLI-01014,Amalia Juana Alva,Profesionista Independiente,48973.43,Medio,2024-08-18
CLI-01015,Sr. Timoteo Baeza,Empleado Sector Privado,31881.28,Medio,2023-10-28
CLI-01016,Dr. Isaac Avilés,Empresario / Comerciante,150015.58,Alto,2024-03-10
CLI-01017,Noemí Linares,Estudiante,2233.48,Bajo,2025-08-31
CLI-01018,Patricio Mario Curiel,Desempleado,1332.16,Alto,2025-04-04
CLI-01019,Srita. Eloisa Caballero,Empresario / Comerciante,153866.54,Alto,2025-12-01
CLI-01020,Serafín Ferrer Saldivar,Empleado Sector Privado,32006.6,Medio,2024-11-28
CLI-01021,Vanesa Eva Montenegro,Jubilado,6817.15,Bajo,2023-12-11
CLI-01022,Lic. Timoteo Santacruz,Jubilado,9140.89,Bajo,2026-05-17
CLI-01023,Jacinto Mariano Mesa Bonilla,Empresario / Comerciante,248123.15,Alto,2024-12-23
CLI-01024,Aldo Abraham Henríquez Romo,Desempleado,3370.41,Alto,2026-02-03
CLI-01025,Rufino Pascual Barela Baca,Jubilado,9372.85,Bajo,2025-04-24
CLI-01026,Citlali Alma Zamudio Urbina,Jubilado,11920.42,Bajo,2026-06-08
CLI-01027,Cornelio Dávila,Desempleado,2251.7,Alto,2024-05-27
CLI-01028,Natividad Nieto,Empresario / Comerciante,213149.77,Alto,2023-09-06
CLI-01029,Darío Toro Aparicio,Profesionista Independiente,29905.78,Medio,2025-06-25
CLI-01030,Dr. Benito Rincón,Estudiante,7879.39,Bajo,2026-05-16
CLI-01031,Pamela Elisa Godoy Zarate,Jubilado,8999.81,Bajo,2025-08-06
CLI-01032,Marisol Solorzano Quintanilla,Desempleado,3488.4,Alto,2023-07-09
CLI-01033,Nayeli Victoria Galarza,Desempleado,106.59,Alto,2026-02-25
CLI-01034,Alvaro Renato Sanches Juárez,Empresario / Comerciante,103106.09,Alto,2023-10-28
CLI-01035,Cecilia Olivia Cazares Zamora,Desempleado,3131.62,Alto,2025-04-01
CLI-01036,Ana Camacho Arroyo,Jubilado,12509.25,Bajo,2024-05-24
CLI-01037,Nayeli Orosco,Desempleado,205.42,Alto,2024-08-31
CLI-01038,Julia Mitzy Cavazos,Empresario / Comerciante,84102.41,Alto,2023-06-22
CLI-01039,Enrique Nicolás Rico Mejía,Desempleado,2884.73,Alto,2026-04-25
CLI-01040,Perla María Eugenia Guevara,Empresario / Comerciante,79555.14,Alto,2024-10-09
CLI-01041,Joaquín Badillo Cervántez,Desempleado,968.79,Alto,2024-06-05
CLI-01042,Gregorio Bétancourt Sáenz,Jubilado,17326.67,Bajo,2024-04-02
CLI-01043,Lic. Alfredo Moreno,Estudiante,3144.71,Bajo,2025-08-31
CLI-01044,Dra. Ariadna Badillo,Empresario / Comerciante,112738.5,Alto,2024-01-02
CLI-01045,Srita. Elsa Rodríguez,Empleado Sector Privado,25627.68,Medio,2024-03-31
CLI-01046,Citlali Irene Rivero,Empleado Sector Privado,25542.45,Medio,2023-09-29
CLI-01047,Lilia Zarate,Jubilado,16966.77,Bajo,2024-02-01
CLI-01048,Dra. Mayte Valenzuela,Desempleado,2909.61,Alto,2024-04-26
CLI-01049,José Eduardo Arce,Desempleado,552.33,Alto,2025-08-24
CLI-01050,Marisol Vaca,Empleado Sector Privado,30509.26,Medio,2023-11-28
CLI-01051,Espartaco Juan Carlos Oquendo,Desempleado,1913.48,Alto,2023-11-17
CLI-01052,Ruby Alba,Empresario / Comerciante,112750.52,Alto,2025-03-21
CLI-01053,Jaime Mauro Gamboa Oquendo,Empleado Sector Privado,27168.9,Medio,2024-01-25
CLI-01054,Cristobal Gastélum,Jubilado,9450.25,Bajo,2023-08-17
CLI-01055,Marisol Elena Toro Beltrán,Profesionista Independiente,45414.09,Medio,2024-09-19
CLI-01056,Sandra Serrato,Desempleado,2722.98,Alto,2024-05-06
CLI-01057,Andrea Campos,Desempleado,1057.45,Alto,2024-10-28
CLI-01058,José Manuél Arturo Barragán Alonso,Empresario / Comerciante,88452.83,Alto,2024-05-07
CLI-01059,Iván David Sandoval Cortés,Empleado Sector Privado,21207.21,Medio,2026-04-11
CLI-01060,Aldo Montes,Profesionista Independiente,25119.02,Medio,2023-10-28
CLI-01061,Sr. Iván Chavarría,Profesionista Independiente,49702.84,Medio,2024-02-26
CLI-01062,Omar Bétancourt,Desempleado,829.11,Alto,2024-03-02
CLI-01063,Ana María Gloria Magaña Salgado,Desempleado,1956.01,Alto,2026-03-24
CLI-01064,Reynaldo Orozco,Empresario / Comerciante,119760.63,Alto,2023-11-04
CLI-01065,Dr. Omar Quintero,Desempleado,1093.83,Alto,2026-01-15
CLI-01066,Jorge Luis Cano Jaimes,Estudiante,5440.86,Bajo,2024-05-23
CLI-01067,Gabriel Barragán,Jubilado,9936.02,Bajo,2025-12-19
CLI-01068,Rocío Angulo,Empresario / Comerciante,213675.49,Alto,2025-03-06
CLI-01069,Jonás Flores,Empleado Sector Privado,21584.94,Medio,2024-09-10
CLI-01070,Mauricio Rosales,Profesionista Independiente,57989.12,Medio,2025-08-12
CLI-01071,Armando Vera,Estudiante,4078.18,Bajo,2023-07-18
CLI-01072,Nadia Esquivel Ceja,Empresario / Comerciante,181194.41,Alto,2025-10-04
CLI-01073,Julia Villanueva,Desempleado,1916.32,Alto,2024-07-17
CLI-01074,Jorge Villalpando,Empleado Sector Privado,39322.41,Medio,2024-09-07
CLI-01075,Ricardo Santillán,Profesionista Independiente,56986.08,Medio,2024-04-18
CLI-01076,Ing. Paola Regalado,Desempleado,1086.49,Alto,2026-01-26
CLI-01077,Hermelinda Julia Fernández Villaseñor,Estudiante,5694.06,Bajo,2025-05-04
CLI-01078,Mitzy Alcala Elizondo,Jubilado,8110.67,Bajo,2023-12-16
CLI-01079,Reynaldo Arellano,Estudiante,6019.0,Bajo,2024-08-08
CLI-01080,Guillermo Rodolfo Díaz,Jubilado,7933.73,Bajo,2024-08-12
CLI-01081,María Teresa Frías,Empleado Sector Privado,13732.21,Medio,2025-09-04
CLI-01082,Sra. Francisca Sánchez,Empresario / Comerciante,116058.72,Alto,2024-12-08
CLI-01083,Rosario Ulibarri Melgar,Empresario / Comerciante,70108.98,Alto,2025-11-21
CLI-01084,Virginia Fernández Bueno,Empleado Sector Privado,12170.99,Medio,2025-04-25
CLI-01085,Manuel Ceballos Montañez,Jubilado,17712.84,Bajo,2023-06-28
CLI-01086,Julio Crespo,Empleado Sector Privado,25427.95,Medio,2024-03-12
CLI-01087,José Carlos Gabino Quesada Gallegos,Empresario / Comerciante,145489.7,Alto,2023-08-16
CLI-01088,Sandra Escalante Padrón,Empleado Sector Privado,36945.06,Medio,2025-08-08
CLI-01089,Elvira Mariana Leyva Olmos,Profesionista Independiente,29452.55,Medio,2023-11-20
CLI-01090,Dr. Eduardo Iglesias,Desempleado,236.65,Alto,2025-08-04
CLI-01091,Inés Solís Elizondo,Estudiante,5913.79,Bajo,2025-03-20
CLI-01092,Pablo Rodrigo Ornelas,Empleado Sector Privado,29660.03,Medio,2025-11-20
CLI-01093,Marisela Yolanda Rentería Balderas,Desempleado,3401.33,Alto,2023-08-28
CLI-01094,Iván Lozada Ramón,Estudiante,7479.38,Bajo,2023-06-22
CLI-01095,Sr. Francisco Terán,Empleado Sector Privado,25790.2,Medio,2025-02-26
CLI-01096,Magdalena Nájera,Empleado Sector Privado,42819.45,Medio,2023-12-12
CLI-01097,Eric Lorenzo Serrato Contreras,Estudiante,7983.03,Bajo,2025-03-10
CLI-01098,Ernesto Navarro,Empresario / Comerciante,207592.13,Alto,2024-09-03
CLI-01099,Emilio Camilo del Río Espinal,Empleado Sector Privado,42908.09,Medio,2026-02-15
CLI-01100,Ruby Susana Quiñónez,Profesionista Independiente,54453.44,Medio,2023-12-31
CLI-01101,Socorro Corona,Estudiante,3790.35,Bajo,2024-01-11
CLI-01102,Lourdes Alicia Garay,Jubilado,6394.91,Bajo,2024-06-17
CLI-01103,Felix Olivera,Profesionista Independiente,27805.27,Medio,2025-02-16
CLI-01104,Itzel Cecilia Ybarra Mireles,Desempleado,2173.2,Alto,2025-04-03
CLI-01105,José Carlos de la O,Empresario / Comerciante,227851.99,Alto,2025-08-30
CLI-01106,Lic. Leonardo Saiz,Empleado Sector Privado,40084.97,Medio,2026-04-09
CLI-01107,Manuel Jasso Dávila,Empresario / Comerciante,104567.42,Alto,2024-02-24
CLI-01108,Jacinto Leal Barragán,Estudiante,3984.1,Bajo,2025-12-26
CLI-01109,Luis Bermúdez Chacón,Desempleado,1835.66,Alto,2025-12-28
